"id","emotion","x","y","valence","arousal"
"65c1499964a50727ccd1b540","Neutral",252,167,2,-83
"65c1499964a50727ccd1b540","Surprised",496,10,246,-240
"65c1499964a50727ccd1b540","Aroused",423,40,173,-210
"65c1499964a50727ccd1b540","Peppy",487,13,237,-237
"65c1499964a50727ccd1b540","Enthusiastic",457,18,207,-232
"65c1499964a50727ccd1b540","Happy",490,136,240,-114
"65c1499964a50727ccd1b540","Satisfied",496,7,246,-243
"65c1499964a50727ccd1b540","Relaxed",493,394,243,144
"65c1499964a50727ccd1b540","Calm",497,433,247,183
"65c1499964a50727ccd1b540","Sleepy",251,494,1,244
"65c1499964a50727ccd1b540","Still",252,248,2,-2
"65c1499964a50727ccd1b540","Quiet",463,452,213,202
"65c1499964a50727ccd1b540","Sluggish",33,486,-217,236
"65c1499964a50727ccd1b540","Sad",90,486,-160,236
"65c1499964a50727ccd1b540","Disappointed",127,255,-123,5
"65c1499964a50727ccd1b540","Disgusted",78,198,-172,-52
"65c1499964a50727ccd1b540","Annoyed",183,43,-67,-207
"65c1499964a50727ccd1b540","Angry",24,12,-226,-238
"65c1499964a50727ccd1b540","Afraid",30,38,-220,-212
"65c1499964a50727ccd1b540","Nervous",174,22,-76,-228
"65c11d2835f98bf54f7fcdee","Neutral",252,249,2,-1
"65c11d2835f98bf54f7fcdee","Surprised",251,82,1,-168
"65c11d2835f98bf54f7fcdee","Aroused",359,123,109,-127
"65c11d2835f98bf54f7fcdee","Peppy",334,46,84,-204
"65c11d2835f98bf54f7fcdee","Enthusiastic",474,5,224,-245
"65c11d2835f98bf54f7fcdee","Happy",282,110,32,-140
"65c11d2835f98bf54f7fcdee","Satisfied",298,251,48,1
"65c11d2835f98bf54f7fcdee","Relaxed",409,411,159,161
"65c11d2835f98bf54f7fcdee","Calm",306,405,56,155
"65c11d2835f98bf54f7fcdee","Sleepy",250,458,0,208
"65c11d2835f98bf54f7fcdee","Still",251,249,1,-1
"65c11d2835f98bf54f7fcdee","Quiet",250,362,0,112
"65c11d2835f98bf54f7fcdee","Sluggish",148,363,-102,113
"65c11d2835f98bf54f7fcdee","Sad",114,279,-136,29
"65c11d2835f98bf54f7fcdee","Disappointed",57,289,-193,39
"65c11d2835f98bf54f7fcdee","Disgusted",20,149,-230,-101
"65c11d2835f98bf54f7fcdee","Annoyed",76,92,-174,-158
"65c11d2835f98bf54f7fcdee","Angry",27,91,-223,-159
"65c11d2835f98bf54f7fcdee","Afraid",69,9,-181,-241
"65c11d2835f98bf54f7fcdee","Nervous",143,129,-107,-121
"63d83e6e48dd3f8da9458dd3","Neutral",250,249,0,-1
"63d83e6e48dd3f8da9458dd3","Surprised",250,8,0,-242
"63d83e6e48dd3f8da9458dd3","Aroused",250,7,0,-243
"63d83e6e48dd3f8da9458dd3","Peppy",474,174,224,-76
"63d83e6e48dd3f8da9458dd3","Enthusiastic",393,102,143,-148
"63d83e6e48dd3f8da9458dd3","Happy",484,249,234,-1
"63d83e6e48dd3f8da9458dd3","Satisfied",462,249,212,-1
"63d83e6e48dd3f8da9458dd3","Relaxed",435,441,185,191
"63d83e6e48dd3f8da9458dd3","Calm",286,248,36,-2
"63d83e6e48dd3f8da9458dd3","Sleepy",250,496,0,246
"63d83e6e48dd3f8da9458dd3","Still",250,370,0,120
"63d83e6e48dd3f8da9458dd3","Quiet",249,249,-1,-1
"63d83e6e48dd3f8da9458dd3","Sluggish",243,497,-7,247
"63d83e6e48dd3f8da9458dd3","Sad",5,436,-245,186
"63d83e6e48dd3f8da9458dd3","Disappointed",162,301,-88,51
"63d83e6e48dd3f8da9458dd3","Disgusted",24,193,-226,-57
"63d83e6e48dd3f8da9458dd3","Annoyed",58,105,-192,-145
"63d83e6e48dd3f8da9458dd3","Angry",14,17,-236,-233
"63d83e6e48dd3f8da9458dd3","Afraid",5,8,-245,-242
"63d83e6e48dd3f8da9458dd3","Nervous",177,53,-73,-197
"63d41123bd9ac5e95fc74616","Neutral",250,251,0,1
"63d41123bd9ac5e95fc74616","Surprised",471,34,221,-216
"63d41123bd9ac5e95fc74616","Aroused",487,28,237,-222
"63d41123bd9ac5e95fc74616","Peppy",469,45,219,-205
"63d41123bd9ac5e95fc74616","Enthusiastic",463,50,213,-200
"63d41123bd9ac5e95fc74616","Happy",444,249,194,-1
"63d41123bd9ac5e95fc74616","Satisfied",479,244,229,-6
"63d41123bd9ac5e95fc74616","Relaxed",472,472,222,222
"63d41123bd9ac5e95fc74616","Calm",442,383,192,133
"63d41123bd9ac5e95fc74616","Sleepy",252,445,2,195
"63d41123bd9ac5e95fc74616","Still",205,435,-45,185
"63d41123bd9ac5e95fc74616","Quiet",460,495,210,245
"63d41123bd9ac5e95fc74616","Sluggish",26,463,-224,213
"63d41123bd9ac5e95fc74616","Sad",37,244,-213,-6
"63d41123bd9ac5e95fc74616","Disappointed",30,462,-220,212
"63d41123bd9ac5e95fc74616","Disgusted",56,466,-194,216
"63d41123bd9ac5e95fc74616","Annoyed",44,57,-206,-193
"63d41123bd9ac5e95fc74616","Angry",18,249,-232,-1
"63d41123bd9ac5e95fc74616","Afraid",153,247,-97,-3
"63d41123bd9ac5e95fc74616","Nervous",53,451,-197,201
"62e99c5ba3484be10c322440","Neutral",253,248,3,-2
"62e99c5ba3484be10c322440","Surprised",251,130,1,-120
"62e99c5ba3484be10c322440","Aroused",403,61,153,-189
"62e99c5ba3484be10c322440","Peppy",302,151,52,-99
"62e99c5ba3484be10c322440","Enthusiastic",414,172,164,-78
"62e99c5ba3484be10c322440","Happy",348,219,98,-31
"62e99c5ba3484be10c322440","Satisfied",431,262,181,12
"62e99c5ba3484be10c322440","Relaxed",318,390,68,140
"62e99c5ba3484be10c322440","Calm",350,356,100,106
"62e99c5ba3484be10c322440","Sleepy",252,445,2,195
"62e99c5ba3484be10c322440","Still",261,251,11,1
"62e99c5ba3484be10c322440","Quiet",253,284,3,34
"62e99c5ba3484be10c322440","Sluggish",201,399,-49,149
"62e99c5ba3484be10c322440","Sad",130,225,-120,-25
"62e99c5ba3484be10c322440","Disappointed",176,275,-74,25
"62e99c5ba3484be10c322440","Disgusted",125,234,-125,-16
"62e99c5ba3484be10c322440","Annoyed",158,211,-92,-39
"62e99c5ba3484be10c322440","Angry",126,103,-124,-147
"62e99c5ba3484be10c322440","Afraid",107,193,-143,-57
"62e99c5ba3484be10c322440","Nervous",198,183,-52,-67
"655f9d1c94dedff4c7b786e8","Neutral",249,248,-1,-2
"655f9d1c94dedff4c7b786e8","Surprised",403,182,153,-68
"655f9d1c94dedff4c7b786e8","Aroused",287,157,37,-93
"655f9d1c94dedff4c7b786e8","Peppy",333,263,83,13
"655f9d1c94dedff4c7b786e8","Enthusiastic",384,196,134,-54
"655f9d1c94dedff4c7b786e8","Happy",463,120,213,-130
"655f9d1c94dedff4c7b786e8","Satisfied",391,141,141,-109
"655f9d1c94dedff4c7b786e8","Relaxed",381,290,131,40
"655f9d1c94dedff4c7b786e8","Calm",364,298,114,48
"655f9d1c94dedff4c7b786e8","Sleepy",306,429,56,179
"655f9d1c94dedff4c7b786e8","Still",251,247,1,-3
"655f9d1c94dedff4c7b786e8","Quiet",251,247,1,-3
"655f9d1c94dedff4c7b786e8","Sluggish",194,452,-56,202
"655f9d1c94dedff4c7b786e8","Sad",208,418,-42,168
"655f9d1c94dedff4c7b786e8","Disappointed",195,343,-55,93
"655f9d1c94dedff4c7b786e8","Disgusted",189,208,-61,-42
"655f9d1c94dedff4c7b786e8","Annoyed",59,385,-191,135
"655f9d1c94dedff4c7b786e8","Angry",35,171,-215,-79
"655f9d1c94dedff4c7b786e8","Afraid",193,291,-57,41
"655f9d1c94dedff4c7b786e8","Nervous",207,225,-43,-25
"65786ed4594f411b4eb9ed13","Neutral",252,246,2,-4
"65786ed4594f411b4eb9ed13","Surprised",251,65,1,-185
"65786ed4594f411b4eb9ed13","Aroused",307,29,57,-221
"65786ed4594f411b4eb9ed13","Peppy",371,96,121,-154
"65786ed4594f411b4eb9ed13","Enthusiastic",367,115,117,-135
"65786ed4594f411b4eb9ed13","Happy",464,245,214,-5
"65786ed4594f411b4eb9ed13","Satisfied",319,248,69,-2
"65786ed4594f411b4eb9ed13","Relaxed",318,408,68,158
"65786ed4594f411b4eb9ed13","Calm",251,248,1,-2
"65786ed4594f411b4eb9ed13","Sleepy",250,470,0,220
"65786ed4594f411b4eb9ed13","Still",251,246,1,-4
"65786ed4594f411b4eb9ed13","Quiet",253,316,3,66
"65786ed4594f411b4eb9ed13","Sluggish",145,415,-105,165
"65786ed4594f411b4eb9ed13","Sad",154,249,-96,-1
"65786ed4594f411b4eb9ed13","Disappointed",120,345,-130,95
"65786ed4594f411b4eb9ed13","Disgusted",107,169,-143,-81
"65786ed4594f411b4eb9ed13","Annoyed",171,178,-79,-72
"65786ed4594f411b4eb9ed13","Angry",84,120,-166,-130
"65786ed4594f411b4eb9ed13","Afraid",120,40,-130,-210
"65786ed4594f411b4eb9ed13","Nervous",139,114,-111,-136
"63d80a392c05f6a765d9e63a","Neutral",251,249,1,-1
"63d80a392c05f6a765d9e63a","Surprised",335,94,85,-156
"63d80a392c05f6a765d9e63a","Aroused",274,56,24,-194
"63d80a392c05f6a765d9e63a","Peppy",326,99,76,-151
"63d80a392c05f6a765d9e63a","Enthusiastic",459,41,209,-209
"63d80a392c05f6a765d9e63a","Happy",472,175,222,-75
"63d80a392c05f6a765d9e63a","Satisfied",367,152,117,-98
"63d80a392c05f6a765d9e63a","Relaxed",337,332,87,82
"63d80a392c05f6a765d9e63a","Calm",347,355,97,105
"63d80a392c05f6a765d9e63a","Sleepy",253,358,3,108
"63d80a392c05f6a765d9e63a","Still",251,411,1,161
"63d80a392c05f6a765d9e63a","Quiet",251,448,1,198
"63d80a392c05f6a765d9e63a","Sluggish",214,441,-36,191
"63d80a392c05f6a765d9e63a","Sad",102,399,-148,149
"63d80a392c05f6a765d9e63a","Disappointed",157,287,-93,37
"63d80a392c05f6a765d9e63a","Disgusted",103,195,-147,-55
"63d80a392c05f6a765d9e63a","Annoyed",134,182,-116,-68
"63d80a392c05f6a765d9e63a","Angry",133,124,-117,-126
"63d80a392c05f6a765d9e63a","Afraid",165,173,-85,-77
"63d80a392c05f6a765d9e63a","Nervous",218,127,-32,-123
"65c2a02accc966d0a033fe6a","Neutral",253,248,3,-2
"65c2a02accc966d0a033fe6a","Surprised",252,29,2,-221
"65c2a02accc966d0a033fe6a","Aroused",456,47,206,-203
"65c2a02accc966d0a033fe6a","Peppy",472,85,222,-165
"65c2a02accc966d0a033fe6a","Enthusiastic",460,34,210,-216
"65c2a02accc966d0a033fe6a","Happy",471,248,221,-2
"65c2a02accc966d0a033fe6a","Satisfied",470,248,220,-2
"65c2a02accc966d0a033fe6a","Relaxed",466,473,216,223
"65c2a02accc966d0a033fe6a","Calm",468,462,218,212
"65c2a02accc966d0a033fe6a","Sleepy",252,462,2,212
"65c2a02accc966d0a033fe6a","Still",252,456,2,206
"65c2a02accc966d0a033fe6a","Quiet",251,446,1,196
"65c2a02accc966d0a033fe6a","Sluggish",27,480,-223,230
"65c2a02accc966d0a033fe6a","Sad",29,442,-221,192
"65c2a02accc966d0a033fe6a","Disappointed",34,453,-216,203
"65c2a02accc966d0a033fe6a","Disgusted",41,105,-209,-145
"65c2a02accc966d0a033fe6a","Annoyed",45,90,-205,-160
"65c2a02accc966d0a033fe6a","Angry",39,36,-211,-214
"65c2a02accc966d0a033fe6a","Afraid",40,82,-210,-168
"65c2a02accc966d0a033fe6a","Nervous",37,60,-213,-190
"6441a242a7d85d5c3e49a173","Neutral",251,249,1,-1
"6441a242a7d85d5c3e49a173","Surprised",251,169,1,-81
"6441a242a7d85d5c3e49a173","Aroused",496,68,246,-182
"6441a242a7d85d5c3e49a173","Peppy",401,223,151,-27
"6441a242a7d85d5c3e49a173","Enthusiastic",494,110,244,-140
"6441a242a7d85d5c3e49a173","Happy",494,195,244,-55
"6441a242a7d85d5c3e49a173","Satisfied",494,199,244,-51
"6441a242a7d85d5c3e49a173","Relaxed",434,431,184,181
"6441a242a7d85d5c3e49a173","Calm",374,247,124,-3
"6441a242a7d85d5c3e49a173","Sleepy",251,412,1,162
"6441a242a7d85d5c3e49a173","Still",250,248,0,-2
"6441a242a7d85d5c3e49a173","Quiet",251,247,1,-3
