"id","offer","offer_value","rpe","vpe","ape","choice"
"65c1499964a50727ccd1b540","offer1","0.5",0.15,91,188,"0"
"65c1499964a50727ccd1b540","offer2","0.05",-0.4,-298,-272,"1"
"65c1499964a50727ccd1b540","offer3","0.05",-0.45,-365,-129,"1"
"65c1499964a50727ccd1b540","offer4","0.2",-0.2,-244,-118,"1"
"65c1499964a50727ccd1b540","offer5","0.1",-0.2,-333,-241,"1"
"65c1499964a50727ccd1b540","offer6","0.2",-0.25,-125,-151,"1"
"65c1499964a50727ccd1b540","offer7","0.3",-0.2,-256,-23,"0"
"65c1499964a50727ccd1b540","offer8","0.4",0.05,157,73,"0"
"65c1499964a50727ccd1b540","offer9","0.4",-0.1,-20,-42,"0"
"65c1499964a50727ccd1b540","offer10","0.1",0.05,-193,-145,"1"
"65c1499964a50727ccd1b540","offer11","0.15",-0.2,-348,-205,"1"
"65c1499964a50727ccd1b540","offer12","0.25",-0.15,-260,-137,"1"
"65c1499964a50727ccd1b540","offer13","0.35",0.3,113,64,"0"
"65c1499964a50727ccd1b540","offer14","0.45",0.15,352,9,"0"
"65c1499964a50727ccd1b540","offer15","0.15",-0.1,-136,-53,"1"
"65c1499964a50727ccd1b540","offer16","0.25",0.15,-213,-66,"1"
"65c1499964a50727ccd1b540","offer17","0.3",-0.15,-207,-147,"0"
"65c1499964a50727ccd1b540","offer18","0.35",0.2,-124,-60,"0"
"65c1499964a50727ccd1b540","offer19","0.45",0.1,292,178,"0"
"65c1499964a50727ccd1b540","offer20","0.5",0.25,138,160,"0"
"65c11d2835f98bf54f7fcdee","offer1","0.15",-0.25,-332,-45,"1"
"65c11d2835f98bf54f7fcdee","offer2","0.05",-0.35,-458,-29,"1"
"65c11d2835f98bf54f7fcdee","offer3","0.45",-0.05,-104,-3,"0"
"65c11d2835f98bf54f7fcdee","offer4","0.5",0.1,75,184,"0"
"65c11d2835f98bf54f7fcdee","offer5","0.45",0.1,-45,4,"0"
"65c11d2835f98bf54f7fcdee","offer6","0.05",-0.35,-279,69,"1"
"65c11d2835f98bf54f7fcdee","offer7","0.2",-0.3,-221,3,"1"
"65c11d2835f98bf54f7fcdee","offer8","0.25",-0.25,-133,-1,"0"
"65c11d2835f98bf54f7fcdee","offer9","0.3",-0.2,-167,-58,"1"
"65c11d2835f98bf54f7fcdee","offer10","0.5",0.25,250,126,"0"
"65c11d2835f98bf54f7fcdee","offer11","0.1",-0.4,-390,-100,"1"
"65c11d2835f98bf54f7fcdee","offer12","0.1",-0.15,-127,-16,"1"
"65c11d2835f98bf54f7fcdee","offer13","0.25",-0.2,-50,81,"1"
"65c11d2835f98bf54f7fcdee","offer14","0.35",0.05,13,4,"1"
"65c11d2835f98bf54f7fcdee","offer15","0.3",0.1,-173,1,"0"
"65c11d2835f98bf54f7fcdee","offer16","0.15",-0.3,-81,-2,"1"
"65c11d2835f98bf54f7fcdee","offer17","0.2",-0.3,-312,0,"1"
"65c11d2835f98bf54f7fcdee","offer18","0.4",-0.05,-78,-37,"0"
"65c11d2835f98bf54f7fcdee","offer19","0.4",-0.1,-51,-11,"1"
"65c11d2835f98bf54f7fcdee","offer20","0.35",0.1,-9,3,"0"
"63d83e6e48dd3f8da9458dd3","offer1","0.25",-0.25,-276,-174,"0"
"63d83e6e48dd3f8da9458dd3","offer2","0.45",0.2,177,114,"0"
"63d83e6e48dd3f8da9458dd3","offer3","0.1",-0.3,-343,-56,"0"
"63d83e6e48dd3f8da9458dd3","offer4","0.15",-0.15,-162,-16,"0"
"63d83e6e48dd3f8da9458dd3","offer5","0.15",0,-63,-13,"0"
"63d83e6e48dd3f8da9458dd3","offer6","0.45",0.2,185,156,"0"
"63d83e6e48dd3f8da9458dd3","offer7","0.5",0,61,35,"0"
"63d83e6e48dd3f8da9458dd3","offer8","0.4",0.25,35,-34,"0"
"63d83e6e48dd3f8da9458dd3","offer9","0.2",-0.1,-119,-58,"0"
"63d83e6e48dd3f8da9458dd3","offer10","0.5",0.45,384,210,"0"
"63d83e6e48dd3f8da9458dd3","offer11","0.25",-0.25,-228,-173,"0"
"63d83e6e48dd3f8da9458dd3","offer12","0.05",-0.45,-434,-441,"0"
"63d83e6e48dd3f8da9458dd3","offer13","0.1",-0.3,-251,-148,"0"
"63d83e6e48dd3f8da9458dd3","offer14","0.3",-0.2,-212,-187,"0"
"63d83e6e48dd3f8da9458dd3","offer15","0.35",-0.15,-157,-162,"0"
"63d83e6e48dd3f8da9458dd3","offer16","0.35",0.05,83,80,"0"
"63d83e6e48dd3f8da9458dd3","offer17","0.4",0.2,91,28,"0"
"63d83e6e48dd3f8da9458dd3","offer18","0.05",-0.45,-424,-108,"0"
"63d83e6e48dd3f8da9458dd3","offer19","0.3",0.05,25,24,"0"
"63d83e6e48dd3f8da9458dd3","offer20","0.2",0.15,81,9,"0"
"63d41123bd9ac5e95fc74616","offer1","0.1",0,-67,-109,"0"
"63d41123bd9ac5e95fc74616","offer2","0.15",-0.15,84,-187,"0"
"63d41123bd9ac5e95fc74616","offer3","0.15",0,-2,5,"0"
"63d41123bd9ac5e95fc74616","offer4","0.05",-0.05,110,-66,"0"
"63d41123bd9ac5e95fc74616","offer5","0.35",-0.15,6,-69,"0"
"63d41123bd9ac5e95fc74616","offer6","0.05",-0.2,3,-222,"0"
"63d41123bd9ac5e95fc74616","offer7","0.2",0,77,-130,"0"
"63d41123bd9ac5e95fc74616","offer8","0.5",0.4,275,308,"0"
"63d41123bd9ac5e95fc74616","offer9","0.45",-0.05,-38,176,"0"
"63d41123bd9ac5e95fc74616","offer10","0.3",-0.2,92,-19,"0"
"63d41123bd9ac5e95fc74616","offer11","0.35",0.15,-58,-290,"0"
"63d41123bd9ac5e95fc74616","offer12","0.25",0.05,57,-24,"0"
"63d41123bd9ac5e95fc74616","offer13","0.4",0.15,284,7,"0"
"63d41123bd9ac5e95fc74616","offer14","0.2",-0.2,-110,-35,"0"
"63d41123bd9ac5e95fc74616","offer15","0.5",0.4,-20,106,"0"
"63d41123bd9ac5e95fc74616","offer16","0.45",0.25,66,43,"0"
"63d41123bd9ac5e95fc74616","offer17","0.3",0.15,274,78,"0"
"63d41123bd9ac5e95fc74616","offer18","0.25",-0.2,-273,-283,"0"
"63d41123bd9ac5e95fc74616","offer19","0.1",-0.05,-95,336,"0"
"63d41123bd9ac5e95fc74616","offer20","0.4",0.2,-164,58,"0"
"62e99c5ba3484be10c322440","offer1","0.3",0.05,-34,-2,"1"
"62e99c5ba3484be10c322440","offer2","0.35",0.25,15,-1,"0"
"62e99c5ba3484be10c322440","offer3","0.25",0,7,0,"0"
"62e99c5ba3484be10c322440","offer4","0.15",0.05,1,1,"1"
"62e99c5ba3484be10c322440","offer5","0.15",0.05,0,-1,"1"
"62e99c5ba3484be10c322440","offer6","0.1",-0.05,-44,2,"1"
"62e99c5ba3484be10c322440","offer7","0.45",0.4,31,2,"0"
"62e99c5ba3484be10c322440","offer8","0.5",0.35,16,9,"0"
"62e99c5ba3484be10c322440","offer9","0.4",0.15,32,7,"0"
"62e99c5ba3484be10c322440","offer10","0.4",0.15,6,-2,"0"
"62e99c5ba3484be10c322440","offer11","0.3",0.2,2,1,"0"
"62e99c5ba3484be10c322440","offer12","0.25",0,-1,-1,"1"
"62e99c5ba3484be10c322440","offer13","0.5",0.45,56,8,"0"
"62e99c5ba3484be10c322440","offer14","0.05",-0.1,-36,4,"1"
"62e99c5ba3484be10c322440","offer15","0.45",0.25,22,8,"0"
"62e99c5ba3484be10c322440","offer16","0.05",-0.2,-68,2,"1"
"62e99c5ba3484be10c322440","offer17","0.2",0.1,16,1,"1"
"62e99c5ba3484be10c322440","offer18","0.1",-0.1,-37,0,"1"
"62e99c5ba3484be10c322440","offer19","0.2",-0.15,-55,-3,"1"
"62e99c5ba3484be10c322440","offer20","0.35",0.35,62,3,"0"
"655f9d1c94dedff4c7b786e8","offer1","0.05",-0.2,-2,-2,"1"
"655f9d1c94dedff4c7b786e8","offer2","0.05",-0.05,-84,0,"1"
"655f9d1c94dedff4c7b786e8","offer3","0.15",0.05,-65,-2,"1"
"655f9d1c94dedff4c7b786e8","offer4","0.15",0.1,-11,0,"1"
"655f9d1c94dedff4c7b786e8","offer5","0.1",0.05,1,-24,"1"
"655f9d1c94dedff4c7b786e8","offer6","0.1",0.05,-54,-2,"1"
"655f9d1c94dedff4c7b786e8","offer7","0.2",-0.05,2,3,"0"
"655f9d1c94dedff4c7b786e8","offer8","0.2",0,-15,-24,"0"
"655f9d1c94dedff4c7b786e8","offer9","0.25",-0.05,-9,3,"0"
"655f9d1c94dedff4c7b786e8","offer10","0.25",0.25,2,6,"0"
"655f9d1c94dedff4c7b786e8","offer11","0.35",0.2,40,-7,"0"
"655f9d1c94dedff4c7b786e8","offer12","0.3",0.3,-6,-5,"0"
"655f9d1c94dedff4c7b786e8","offer13","0.35",0.1,29,1,"0"
"655f9d1c94dedff4c7b786e8","offer14","0.3",0.1,1,7,"0"
"655f9d1c94dedff4c7b786e8","offer15","0.4",0.2,79,8,"0"
"655f9d1c94dedff4c7b786e8","offer16","0.5",0.25,49,70,"0"
"655f9d1c94dedff4c7b786e8","offer17","0.4",0.2,132,35,"0"
"655f9d1c94dedff4c7b786e8","offer18","0.45",0.3,138,32,"0"
"655f9d1c94dedff4c7b786e8","offer19","0.5",0.3,119,-3,"0"
"655f9d1c94dedff4c7b786e8","offer20","0.45",0.35,-44,34,"0"
"65786ed4594f411b4eb9ed13","offer1","0.15",0.15,-8,-112,"1"
"65786ed4594f411b4eb9ed13","offer2","0.05",0,-197,153,"1"
"65786ed4594f411b4eb9ed13","offer3","0.05",-0.05,-97,78,"1"
"65786ed4594f411b4eb9ed13","offer4","0.1",0.1,-196,1,"1"
"65786ed4594f411b4eb9ed13","offer5","0.1",0.1,-126,4,"1"
"65786ed4594f411b4eb9ed13","offer6","0.15",0.05,-165,-45,"1"
"65786ed4594f411b4eb9ed13","offer7","0.2",0.15,-95,4,"1"
